sequence          ,obj,  J&F,    J,    F
Global score      ,   , 89.5, 89.6, 89.4
blackswan         ,255, 97.7, 95.9, 99.5
bmx-trees         ,255, 75.9, 64.7, 87.2
breakdance        ,255, 94.1, 93.0, 95.2
camel             ,255, 98.0, 96.9, 99.1
car-roundabout    ,255, 97.8, 98.5, 97.1
car-shadow        ,255, 98.4, 97.2, 99.7
cows              ,255, 97.7, 96.4, 99.1
dance-twirl       ,255, 93.5, 92.1, 94.8
dog               ,255, 97.3, 96.1, 98.5
drift-chicane     ,255, 90.7, 85.4, 96.0
drift-straight    ,255, 94.9, 95.0, 94.9
goat              ,255, 93.0, 91.6, 94.4
horsejump-high    ,255, 93.4, 90.9, 95.9
kite-surf         ,255, 63.3, 70.7, 55.9
libby             ,255, 94.3, 90.5, 98.1
motocross-jump    ,255, 87.3, 91.8, 82.9
paragliding-launch,255, 44.1, 64.3, 23.9
parkour           ,255, 96.8, 95.5, 98.2
scooter-black     ,255, 88.8, 92.2, 85.5
soapbox           ,255, 93.1, 94.1, 92.1
